DOY,TS Days,Cumulative,Cumulative%
342,0,3653,1
343,0,3653,1
344,0,3653,1
345,0,3653,1
346,0,3653,1
347,0,3653,1
348,0,3653,1
349,0,3653,1
350,0,3653,1
351,0,3653,1
352,0,3653,1
353,0,3653,1
354,0,3653,1
355,0,3653,1
356,0,3653,1
357,0,3653,1
358,0,3653,1
359,0,3653,1
360,0,3653,1
361,0,3653,1
362,0,3653,1
363,0,3653,1
364,0,3653,1
365,0,3653,1
366,0,3653,1
